008;ALL;Лек;Албания
012;DZD;Алжирский динар;Алжир
032;ARS;Аргентинское песо;Аргентина
036;AUD;Австралийский доллар;"Австралия; Кирибати; Кокосовые (Килинг) острова; Науру; Остров Норфолк; Остров Рождества; Остров Херд и острова Макдональд; Тувалу"
044;BSD;Багамский доллар;Багамы
048;BHD;Бахрейнский динар;Бахрейн
050;BDT;Така;Бангладеш
051;AMD;Армянский драм;Армения
052;BBD;Барбадосский доллар;Барбадос
060;BMD;Бермудский доллар;Бермуды
064;BTN;Нгултрум;Бутан
068;BOB;Боливиано;Боливия, многонациональное государство
072;BWP;Пула;Ботсвана
084;BZD;Белизский доллар;Белиз
090;SBD;Доллар Соломоновых Островов;Соломоновы Острова 
096;BND;Брунейский доллар;Бруней-Даруссалам
104;MMK;Кьят;Мьянма
108;BIF;Бурундийский франк;Бурунди
116;KHR;Риель;Камбоджа
124;CAD;Канадский доллар;Канада
132;CVE;Эскудо Кабо-Верде;Кабо-Верде
136;KYD;Доллар Островов Кайман;Острова Кайман
144;LKR;Шри-Ланкийская рупия;Шри-Ланка
152;CLP;Чилийское песо;Чили
156;CNY;Юань;Китай
170;COP;Колумбийское песо;Колумбия
174;KMF;Франк Комор;Коморы
188;CRC;Костариканский колон;Коста-Рика
191;HRK;Хорватская куна;Хорватия
192;CUP;Кубинское песо;Куба
203;CZK;Чешская крона;Чешская Республика
208;DKK;Датская крона;"Гренландия; Дания; Фарерские острова"
214;DOP;Доминиканское песо;Доминиканская Республика
222;SVC;Сальвадорский колон;Эль-Сальвадор
230;ETB;Эфиопский быр;Эфиопия
232;ERN;Накфа;Эритрея
238;FKP;Фунт Фолклендских островов;Фолклендские острова (Мальвинские)
242;FJD;Доллар Фиджи;Фиджи
262;DJF;Франк Джибути;Джибути
270;GMD;Даласи;Гамбия
292;GIP;Гибралтарский фунт;Гибралтар
320;GTQ;Кетсаль;Гватемала
324;GNF;Гвинейский франк;Гвинея
328;GYD;Гайанский доллар;Гайана
332;HTG;Гурд;Гаити
340;HNL;Лемпира;Гондурас
344;HKD;Гонконгский доллар;Гонконг
348;HUF;Форинт;Венгрия
352;ISK;Исландская крона;Исландия
356;INR;Индийская рупия;"Бутан; Индия"
360;IDR;Рупия;Индонезия
364;IRR;Иранский риал;Иран (Исламская Республика)
368;IQD;Иракский динар;Ирак
376;ILS;Новый израильский шекель;Израиль 
388;JMD;Ямайский доллар;Ямайка
392;JPY;Иена;Япония
398;KZT;Тенге;Казахстан
400;JOD;Иорданский динар;Иордания
404;KES;Кенийский шиллинг;Кения
408;KPW;Северокорейская вона;Корея, народно-демократическая республика
410;KRW;Вона;Корея, республика
414;KWD;Кувейтский динар;Кувейт
417;KGS;Сом;Киргизия
418;LAK;Кип;Лаосская Народно-Демократическая Республика
422;LBP;Ливанский фунт;Ливан
426;LSL;Лоти;Лесото
428;LVL;Латвийский лат (валюта действует до 14 января 2014 года включительно);Латвия
430;LRD;Либерийский доллар;Либерия
434;LYD;Ливийский динар;Ливия
440;LTL;Литовский лит;Литва
446;MOP;Патака;Макао
454;MWK;Квача;Малави
458;MYR;Малайзийский ринггит;Малайзия
462;MVR;Руфия;Мальдивы
478;MRO;Угия;Мавритания
480;MUR;Маврикийская рупия;Маврикий
484;MXN;Мексиканское песо;Мексика
496;MNT;Тугрик;Монголия
498;MDL;Молдавский лей;Молдова, республика
504;MAD;Марокканский дирхам;"Западная Сахара; Марокко"
512;OMR;Оманский риал;Оман
516;NAD;Доллар Намибии;Намибия
524;NPR;Непальская рупия;Непал
532;ANG;Нидерландский антильский гульден;"Кюрасао; Сен-Мартен (нидерландская часть)"
533;AWG;Арубанский флорин;Аруба
548;VUV;Вату;Вануату
554;NZD;Новозеландский доллар;"Ниуэ; Новая Зеландия; Острова Кука; Питкерн; Токелау"
558;NIO;Золотая кордоба;Никарагуа
566;NGN;Найра;Нигерия
578;NOK;Норвежская крона;"Норвегия; Остров Буве; Шпицберген и Ян Майен"
586;PKR;Пакистанская рупия;Пакистан
590;PAB;Бальбоа;Панама
598;PGK;Кина;Папуа Новая Гвинея
600;PYG;Гуарани;Парагвай
604;PEN;Новый соль;Перу
608;PHP;Филиппинское песо;Филиппины
634;QAR;Катарский риал;Катар
643;RUB;Российский рубль;Россия
646;RWF;Франк Руанды;Руанда
