R01500;MDL;Moldovan Leu;Молдавский лей
R01235;USD;US Dollar;Доллар США
R01810;ZAR;Rand;Южноафриканский рэнд
R01710;TMT;Turkmenistan New Manat;Новый туркменский манат
R01670;TJS;Somoni;Таджикский сомони
R01010;AUD;Australian Dollar;Австралийский доллар
R01020A;AZN;Azerbaijanian Manat;Азербайджанский манат
R01035;GBP;Pound Sterling;Фунт стерлингов Соединенного королевства
R01040F;AOA;Kwanza;Ангольская новая кванза
R01060;AMD;Armenian Dram;Армянский драм
R01090;BYR;Belarussian Ruble;Белорусский рубль
R01100;BGN;Bulgarian Lev;Болгарский лев
R01115;BRL;Brazilian Real;Бразильский реал
R01135;HUF;Forint;Венгерский форинт
R01215;DKK;Danish Krone;Датская крона
R01239;EUR;Euro;Евро
R01270;INR;Indian Rupee;Индийская рупия
R01310;ISK;Iceland Krona;Исландская крона
R01335;KZT;Tenge;Казахстанский тенге
R01350;CAD;Canadian Dollar;Канадский доллар
R01370;KGS;Som;Киргизский сом
R01375;CNY;Yuan Renminbi;Китайский юань
R01390;KWD;Kuwaiti Dinar;Кувейтский динар
R01405;LVL;Latvian Lats;Латвийский лат
R01420;LBP;Lebanese Pound;Ливанский фунт
R01435;LTL;Lithuanian Litas;Литовский лит
R01523;ANG;Netherlands Antillean Guilder;Нидерландский гульден
R01535;NOK;Norwegian Krone;Норвежская крона
R01565;PLN;Zloty;Польский злотый
R01585;RON;Romanian Leu;Румынский лей
R01589;XDR;SDR (Special Drawing Right);СДР (специальные права заимствования)
R01625;SGD;Singapore Dollar;Сингапурский доллар
R01665A;SRD;Surinam Dollar;Суринамский доллар
R01700J;TRY;Turkish Lira;Турецкая лира
R01717;UZS;Uzbekistan Sum;Узбекский сум
R01720;UAH;Hryvnia;Украинская гривна
R01760;CZK;Czech Koruna;Чешская крона
R01770;SEK;Swedish Krona;Шведская крона
R01775;CHF;Swiss Franc;Швейцарский франк
R01795;EEK;Estonian Kroon;Эстонская крона
R01805;YUM;Yugoslav Novi Dinar;Югославский новый динар
R01815;KRW;Won;Вон Республики Корея
R01820;JPY;Yen;Японская иена
